id,date,total_cases
1,2020-02-24,1
2,2020-02-25,1
3,2020-02-26,5
4,2020-02-27,7
5,2020-02-28,7
6,2020-02-29,13
7,2020-03-01,19
8,2020-03-02,26
9,2020-03-03,32
10,2020-03-04,35
11,2020-03-05,35
12,2020-03-06,40
13,2020-03-07,54
14,2020-03-08,60
15,2020-03-09,60
16,2020-03-10,71
17,2020-03-11,71
18,2020-03-12,71
19,2020-03-13,101
20,2020-03-14,110
21,2020-03-15,116
22,2020-03-16,124
23,2020-03-17,154
24,2020-03-18,164
25,2020-03-19,192
26,2020-03-20,208
27,2020-03-21,214
28,2020-03-22,233
29,2020-03-23,266
30,2020-03-24,316
31,2020-03-25,346
32,2020-03-26,382
33,2020-03-27,458
34,2020-03-28,506
35,2020-03-29,547
36,2020-03-30,630
37,2020-03-31,694
38,2020-04-01,728
39,2020-04-02,772
40,2020-04-03,820
41,2020-04-04,878
42,2020-04-05,961
43,2020-04-06,1031
44,2020-04-07,1122
45,2020-04-08,1202
46,2020-04-09,1232
47,2020-04-10,1279
48,2020-04-11,1318
49,2020-04-12,1352
50,2020-04-13,1378
51,2020-04-14,1400
52,2020-04-15,1415
53,2020-04-16,1434
54,2020-04-17,1482
55,2020-04-18,1513
56,2020-04-19,1539
57,2020-04-20,1574
58,2020-04-21,1602
59,2020-04-22,1631
60,2020-04-23,1677
61,2020-04-24,1708
62,2020-04-25,1763
63,2020-04-26,1820
64,2020-04-27,1847
65,2020-04-28,1928
66,2020-04-29,2003
67,2020-04-30,2085
68,2020-05-01,2153
69,2020-05-02,2219
70,2020-05-03,2296
71,2020-05-04,2346
72,2020-05-05,2431
73,2020-05-06,2480
74,2020-05-07,2543
75,2020-05-08,2603
76,2020-05-09,2679
77,2020-05-10,2767
78,2020-05-11,2818
79,2020-05-12,2913
80,2020-05-13,3032
81,2020-05-14,3143
82,2020-05-15,3193
83,2020-05-16,3260
84,2020-05-17,3404
85,2020-05-18,3554
86,2020-05-19,3611
87,2020-05-20,3724
88,2020-05-21,3877
89,2020-05-22,3964
90,2020-05-23,4272
91,2020-05-24,4469
92,2020-05-25,4632
93,2020-05-26,4848
94,2020-05-27,5135
95,2020-05-28,5457
96,2020-05-29,5873
97,2020-05-30,6179
98,2020-05-31,6439
99,2020-06-01,6868
100,2020-06-02,7387
101,2020-06-03,8168
102,2020-06-04,8840
103,2020-06-05,9846
104,2020-06-06,11098
105,2020-06-07,12366
106,2020-06-08,13481
107,2020-06-09,14268
108,2020-06-10,15414
109,2020-06-11,16675
110,2020-06-12,17770
111,2020-06-13,18950
112,2020-06-14,20209
113,2020-06-15,21315
114,2020-06-16,22700
115,2020-06-17,24254
116,2020-06-18,25717
117,2020-06-19,27352
118,2020-06-20,29222
119,2020-06-21,30868
120,2020-06-22,32676
121,2020-06-23,34502
122,2020-06-24,36702
123,2020-06-25,39139
124,2020-06-26,41193
125,2020-06-27,43262
126,2020-06-28,45402
127,2020-06-29,47151
128,2020-06-30,49109
129,2020-07-01,51524
130,2020-07-02,53708
131,2020-07-03,56020
132,2020-07-04,58354
133,2020-07-05,60479
134,2020-07-06,62275
135,2020-07-07,64701
136,2020-07-08,67442
137,2020-07-09,69612
138,2020-07-10,72460
139,2020-07-11,75194
140,2020-07-12,77506
141,2020-07-13,79735
142,2020-07-14,81757
143,2020-07-15,83867
144,2020-07-16,86148
145,2020-07-17,88171
146,2020-07-18,90220
147,2020-07-19,92530
148,2020-07-20,94693
149,2020-07-21,97159
150,2020-07-22,99865
151,2020-07-23,102226
152,2020-07-24,104711
153,2020-07-25,107573
154,2020-07-26,110032
155,2020-07-27,112585
156,2020-07-28,115332
157,2020-07-29,118300
158,2020-07-30,121263
159,2020-07-31,124609
160,2020-08-01,126704
161,2020-08-02,129151
162,2020-08-03,131886
163,2020-08-04,134722
164,2020-08-05,137556
165,2020-08-06,140603
166,2020-08-07,144064
167,2020-08-08,147389
168,2020-08-09,150115
169,2020-08-10,153599
170,2020-08-11,156995
171,2020-08-12,160436
172,2020-08-13,164277
173,2020-08-14,168290
174,2020-08-15,172583
175,2020-08-16,176931
176,2020-08-17,180133
177,2020-08-18,184709
178,2020-08-19,188802
179,2020-08-20,192797
180,2020-08-21,197085
181,2020-08-22,201050
182,2020-08-23,204341
183,2020-08-24,207985
184,2020-08-25,211947
185,2020-08-26,215784
186,2020-08-27,219435
187,2020-08-28,223612
188,2020-08-29,227446
189,2020-08-30,231177
190,2020-08-31,234934
191,2020-09-01,238338
192,2020-09-02,242284
193,2020-09-03,247039
194,2020-09-04,252075
195,2020-09-05,256719
196,2020-09-06,260370
197,2020-09-07,264684
198,2020-09-08,269578
199,2020-09-09,273821
200,2020-09-10,278418
201,2020-09-11,282672
202,2020-09-12,286778
203,2020-09-13,290309
204,2020-09-14,294478
205,2020-09-15,298702
206,2020-09-16,303059
207,2020-09-17,307385
208,2020-09-18,311690
209,2020-09-19,315597
210,2020-09-20,319035
211,2020-09-21,322856
212,2020-09-22,327580
