id,date,total_cases
0,2020-01-01,0
1,2020-01-02,0
2,2020-01-03,0
3,2020-01-04,0
4,2020-01-05,0
5,2020-01-06,0
6,2020-01-07,0
7,2020-01-08,0
8,2020-01-09,0
9,2020-01-10,0
10,2020-01-11,0
11,2020-01-12,0
12,2020-01-13,0
13,2020-01-14,0
14,2020-01-15,0
15,2020-01-16,0
16,2020-01-17,0
17,2020-01-18,0
18,2020-01-19,0
19,2020-01-20,0
20,2020-01-21,0
21,2020-01-22,1110
22,2020-01-23,1308
23,2020-01-24,1882
24,2020-01-25,2868
25,2020-01-26,4236
26,2020-01-27,5854
27,2020-01-28,11156
28,2020-01-29,12334
29,2020-01-30,16470
30,2020-01-31,19854
31,2020-02-01,24076
32,2020-02-02,33574
33,2020-02-03,39774
34,2020-02-04,47796
35,2020-02-05,55286
36,2020-02-06,61606
37,2020-02-07,68792
38,2020-02-08,74260
39,2020-02-09,80320
40,2020-02-10,85538
41,2020-02-11,89622
42,2020-02-12,90458
43,2020-02-13,120764
44,2020-02-14,133818
45,2020-02-15,138102
46,2020-02-16,142470
47,2020-02-17,146540
48,2020-02-18,150304
49,2020-02-19,151304
50,2020-02-20,152424
51,2020-02-21,153682
52,2020-02-22,157204
53,2020-02-23,157964
54,2020-02-24,159092
55,2020-02-25,160798
56,2020-02-26,162752
57,2020-02-27,165472
58,2020-02-28,168246
59,2020-02-29,172026
60,2020-03-01,176788
61,2020-03-02,180754
62,2020-03-03,185942
63,2020-03-04,190558
64,2020-03-05,196180
65,2020-03-06,204006
66,2020-03-07,212196
67,2020-03-08,220094
68,2020-03-09,228438
69,2020-03-10,238082
70,2020-03-11,253404
71,2020-03-12,264984
72,2020-03-13,293758
73,2020-03-14,315904
74,2020-03-15,338444
75,2020-03-16,368064
76,2020-03-17,399952
77,2020-03-18,439070
78,2020-03-19,493168
79,2020-03-20,554722
80,2020-03-21,618726
81,2020-03-22,688388
82,2020-03-23,774090
83,2020-03-24,856410
84,2020-03-25,958446
85,2020-03-26,1084106
86,2020-03-27,1214228
87,2020-03-28,1348720
88,2020-03-29,1467224
89,2020-03-30,1597780
90,2020-03-31,1751478
91,2020-04-01,1917202
92,2020-04-02,2083324
93,2020-04-03,2250172
94,2020-04-04,2367002
95,2020-04-05,2512178
96,2020-04-06,2658456
97,2020-04-07,2798110
98,2020-04-08,2964866
99,2020-04-09,3138908
100,2020-04-10,3309936
101,2020-04-11,3458618
102,2020-04-12,3698082
103,2020-04-13,3839594
104,2020-04-14,4007464
105,2020-04-15,4161660
106,2020-04-16,4352816
107,2020-04-17,4528240
108,2020-04-18,4682946
109,2020-04-19,4836332
110,2020-04-20,4988230
111,2020-04-21,5139456
112,2020-04-22,5301498
113,2020-04-23,5470206
114,2020-04-24,5638382
115,2020-04-25,5802916
116,2020-04-26,5946326
117,2020-04-27,6086404
118,2020-04-28,6237016
119,2020-04-29,6391088
120,2020-04-30,6558146
121,2020-05-01,6734678
122,2020-05-02,6893260
123,2020-05-03,7046350
124,2020-05-04,7201558
125,2020-05-05,7362254
126,2020-05-06,7542014
127,2020-05-07,7719570
128,2020-05-08,7900240
129,2020-05-09,8069820
130,2020-05-10,8220404
131,2020-05-11,8374266
132,2020-05-12,8542502
133,2020-05-13,8712278
134,2020-05-14,8905054
135,2020-05-15,9096554
136,2020-05-16,9286004
137,2020-05-17,9441688
138,2020-05-18,9619770
139,2020-05-19,9813332
140,2020-05-20,10016794
141,2020-05-21,10229994
142,2020-05-22,10443066
143,2020-05-23,10653228
144,2020-05-24,10841564
145,2020-05-25,11015242
146,2020-05-26,11202502
147,2020-05-27,11408086
148,2020-05-28,11645896
149,2020-05-29,11888078
150,2020-05-30,12161990
151,2020-05-31,12375234
152,2020-06-01,12566604
153,2020-06-02,12809440
154,2020-06-03,13038030
155,2020-06-04,13299486
156,2020-06-05,13562198
157,2020-06-06,13830446
158,2020-06-07,14054390
159,2020-06-08,14259570
160,2020-06-09,14509126
161,2020-06-10,14778916
162,2020-06-11,15054668
163,2020-06-12,15311964
164,2020-06-13,15582298
165,2020-06-14,15847250
166,2020-06-15,16086138
167,2020-06-16,16369980
168,2020-06-17,16656304
169,2020-06-18,16936972
170,2020-06-19,17296550
171,2020-06-20,17609826
172,2020-06-21,17865904
173,2020-06-22,18142588
